idHecho,N_VICTIMAS,FECHA_x,AAAA_x,MM_x,DD_x,HORA,HH,TIPO_DE_CALLE,COMUNA,Longitud,Latitud,VICTIMA_x,ACUSADO,ROL,SEXO,semestre,dia_semana_espanol,Rango Etario
2016-0110,1,2016-08-24,2016,8,24,2023-12-05 20:21:00,20,avenida,9,-58.51232237,-34.6590353,peaton,sd,peaton,masculino,2,Miércoles,Adulto Mayor
2016-0111,1,2016-08-25,2016,8,25,2023-12-05 09:30:00,9,autopista,15,-58.47461905,-34.57663634,moto,cargas,conductor,masculino,2,Jueves,Adulto
2016-0112,1,2016-08-27,2016,8,27,2023-12-05 04:40:00,4,autopista,1,-58.38268809,-34.62282019,moto,objeto fijo,conductor,masculino,2,Sábado,Adulto
2016-0113,1,2016-08-27,2016,8,27,2023-12-05 16:45:00,16,avenida,9,-58.49603546,-34.64564271,peaton,pasajeros,peaton,femenino,2,Sábado,Anciano
2016-0114,1,2016-08-31,2016,8,31,2023-12-05 11:20:00,11,calle,14,-58.41848605,-34.59394733,bicicleta,cargas,ciclista,femenino,2,Miércoles,Adulto Mayor
2016-0115,1,2016-09-02,2016,9,2,2023-12-05 11:50:00,11,calle,12,-58.48935041,-34.54917673,sd,cargas,sd,masculino,2,Viernes,Adulto de Edad Media
2016-0116,1,2016-09-02,2016,9,2,2023-12-05 20:20:00,20,avenida,8,-58.44451316,-34.68475866,moto,auto,conductor,masculino,2,Viernes,Adulto
2016-0117,1,2016-09-03,2016,9,3,2023-12-05 15:30:00,15,avenida,14,-58.39936478,-34.58271474,auto,auto,conductor,masculino,2,Sábado,Adulto de Edad Media
2016-0118,1,2016-09-04,2016,9,4,2023-12-05 03:30:00,3,autopista,1,-58.37936704,-34.62694503,auto,auto,conductor,masculino,2,Domingo,Adulto
2016-0119,1,2016-09-04,2016,9,4,2023-12-05 06:40:00,6,avenida,12,-58.49659234,-34.56353635,sd,sd,pasajero_acompaniante,femenino,2,Domingo,Adulto de Edad Media
2016-0122,1,2016-09-13,2016,9,13,2023-12-05 07:10:00,7,avenida,9,-58.47256391,-34.65194557,bicicleta,pasajeros,ciclista,masculino,2,Martes,Adulto Mayor
2016-0123,1,2016-09-14,2016,9,14,2023-12-05 09:00:00,9,avenida,7,-58.45130953,-34.64053676,moto,auto,conductor,femenino,2,Miércoles,Adulto Mayor
2016-0124,1,2016-09-16,2016,9,16,2023-12-05 15:24:00,15,avenida,7,-58.46271207,-34.62884871,peaton,pasajeros,peaton,masculino,2,Viernes,Anciano
2016-0125,1,2016-09-17,2016,9,17,2023-12-05 12:14:00,12,autopista,10,-58.49020869,-34.64243791,moto,moto,conductor,masculino,2,Sábado,Adulto
2016-0126,1,2016-09-18,2016,9,18,2023-12-05 22:45:00,22,calle,10,-58.52572109,-34.62125906,auto,cargas,conductor,masculino,2,Domingo,Adulto de Edad Media
2016-0126,1,2016-09-18,2016,9,18,2023-12-05 22:45:00,22,calle,10,-58.52572109,-34.62125906,auto,cargas,pasajero_acompaniante,masculino,2,Domingo,Anciano
2016-0127,1,2016-09-24,2016,9,24,2023-12-05 10:25:00,10,avenida,8,-58.44094791,-34.66677111,peaton,pasajeros,peaton,masculino,2,Sábado,Adulto Mayor
2016-0128,1,2016-10-02,2016,10,2,2023-12-05 11:30:00,11,avenida,5,-58.41914024,-34.6305389,peaton,pasajeros,peaton,femenino,2,Domingo,Anciano
2016-0130,1,2016-10-04,2016,10,4,2023-12-05 12:30:00,12,autopista,1,-58.37910942,-34.62764717,moto,cargas,conductor,masculino,2,Martes,Adulto
2016-0131,1,2016-10-09,2016,10,9,2023-12-05 19:13:00,19,calle,4,-58.39871183,-34.64539318,peaton,auto,peaton,masculino,2,Domingo,Adulto de Edad Media
2016-0132,1,2016-10-10,2016,10,10,2023-12-05 02:30:00,2,avenida,3,-58.41036975,-34.62477021,auto,pasajeros,pasajero_acompaniante,masculino,2,Lunes,Adulto
2016-0133,1,2016-10-14,2016,10,14,2023-12-05 00:05:00,0,avenida,14,-58.40204698,-34.5834269,moto,auto,conductor,masculino,2,Viernes,Adulto de Edad Media
2016-0134,1,2016-10-23,2016,10,23,2023-12-05 05:00:00,5,avenida,8,-58.48935287,-34.67648597,moto,objeto fijo,conductor,masculino,2,Domingo,Adulto
2016-0135,1,2016-10-24,2016,10,24,2023-12-05 05:00:00,5,avenida,14,-58.42260225,-34.56403694,peaton,sd,peaton,masculino,2,Lunes,Adulto
2016-0136,1,2016-10-25,2016,10,25,2023-12-05 00:00:00,0,autopista,4,0.0,0.0,moto,cargas,conductor,sd,2,Martes,Adulto de Edad Media
2016-0137,1,2016-10-25,2016,10,25,2023-12-05 00:39:00,0,avenida,11,-58.51537091,-34.59035925,moto,moto,conductor,masculino,2,Martes,Adulto
2016-0138,1,2016-10-27,2016,10,27,2023-12-05 20:30:00,20,avenida,13,-58.4590967,-34.55922742,bicicleta,cargas,ciclista,femenino,2,Jueves,Adulto
2016-0139,1,2016-10-28,2016,10,28,2023-12-05 23:00:00,23,avenida,14,-58.42008769,-34.56539579,moto,moto,pasajero_acompaniante,femenino,2,Viernes,Adulto de Edad Media
2016-0140,1,2016-10-31,2016,10,31,2023-12-05 02:58:00,2,avenida,13,-58.45566399,-34.56147293,pasajeros,pasajeros,pasajero_acompaniante,masculino,2,Lunes,Adulto Joven
2016-0142,1,2016-11-05,2016,11,5,2023-12-05 23:30:00,23,avenida,1,-58.37533517,-34.59276462,moto,pasajeros,conductor,masculino,2,Sábado,Adulto Mayor
2016-0143,1,2016-11-06,2016,11,6,2023-12-05 04:41:00,4,avenida,8,-58.44451316,-34.68475866,moto,sd,conductor,masculino,2,Domingo,Adulto de Edad Media
2016-0144,1,2016-11-07,2016,11,7,2023-12-05 12:10:00,12,avenida,4,-58.35975012,-34.63343907,peaton,pasajeros,peaton,masculino,2,Lunes,Anciano
2016-0145,1,2016-11-07,2016,11,7,2023-12-05 20:56:00,20,avenida,13,-58.44523595,-34.55953855,moto,auto,conductor,masculino,2,Lunes,Adulto de Edad Media
2016-0146,1,2016-11-09,2016,11,9,2023-12-05 20:00:00,20,avenida,4,-58.39626094,-34.63036565,peaton,pasajeros,peaton,femenino,2,Miércoles,Adulto
2016-0147,1,2016-11-16,2016,11,16,2023-12-05 21:15:00,21,avenida,1,-58.38896772,-34.61799615,movil,pasajeros,pasajero_acompaniante,masculino,2,Miércoles,Adulto Mayor
2016-0148,1,2016-11-16,2016,11,16,2023-12-05 22:20:00,22,avenida,15,-58.46536113,-34.59484504,moto,moto,conductor,masculino,2,Miércoles,Adulto de Edad Media
2016-0150,1,2016-11-18,2016,11,18,2023-12-05 18:20:00,18,avenida,4,-58.40879146,-34.65273216,cargas,cargas,pasajero_acompaniante,masculino,2,Viernes,Adulto de Edad Media
2016-0151,1,2016-11-18,2016,11,18,2023-12-05 20:35:00,20,calle,0,0.0,0.0,peaton,sd,peaton,sd,2,Viernes,Adulto de Edad Media
2016-0152,1,2016-11-23,2016,11,23,2023-12-05 21:10:00,21,avenida,7,-58.46451841,-34.64991946,moto,auto,conductor,masculino,2,Miércoles,Adulto de Edad Media
2016-0153,1,2016-11-25,2016,11,25,2023-12-05 15:42:00,15,avenida,15,-58.4291709,-34.59485488,peaton,moto,peaton,femenino,2,Viernes,Anciano
2016-0154,1,2016-11-26,2016,11,26,2023-12-05 14:14:00,14,gral paz,8,-58.49007772,-34.68251141,moto,moto,conductor,masculino,2,Sábado,Adulto de Edad Media
2016-0155,1,2016-11-26,2016,11,26,2023-12-05 16:50:00,16,calle,10,-58.52756365,-34.62772274,peaton,auto,peaton,femenino,2,Sábado,Adulto
2016-0156,1,2016-11-26,2016,11,26,2023-12-05 19:40:00,19,avenida,3,-58.40638983,-34.61943202,moto,pasajeros,conductor,masculino,2,Sábado,Adulto Joven
2016-0157,1,2016-12-03,2016,12,3,2023-12-05 06:40:00,6,avenida,11,-58.47576807,-34.61740997,moto,moto,conductor,masculino,2,Sábado,Adulto Joven
2016-0159,1,2016-12-04,2016,12,4,2023-12-05 07:21:00,7,avenida,8,-58.44451316,-34.68475866,auto,sd,conductor,masculino,2,Domingo,Adulto Joven
2016-0160,1,2016-12-06,2016,12,6,2023-12-05 05:30:00,5,autopista,9,-58.51927194,-34.63635787,cargas,objeto fijo,conductor,masculino,2,Martes,Adulto
2016-0161,1,2016-12-06,2016,12,6,2023-12-05 07:22:00,7,avenida,14,-58.42525456,-34.57866344,peaton,pasajeros,peaton,masculino,2,Martes,Adulto Mayor
2016-0162,1,2016-12-07,2016,12,7,2023-12-05 05:00:00,5,avenida,15,-58.45396573,-34.58518167,peaton,auto,peaton,masculino,2,Miércoles,Adulto de Edad Media
2016-0163,1,2016-12-10,2016,12,10,2023-12-05 07:30:00,7,gral paz,11,-58.52340614,-34.59798754,moto,auto,conductor,masculino,2,Sábado,Adulto Joven
2016-0164,1,2016-12-11,2016,12,11,2023-12-05 06:16:00,6,avenida,4,-58.42323628,-34.64119105,auto,auto,conductor,masculino,2,Domingo,Adulto
2016-0165,1,2016-12-12,2016,12,12,2023-12-05 08:25:00,8,avenida,4,-58.36926144,-34.62841919,bicicleta,pasajeros,ciclista,masculino,2,Lunes,Adulto de Edad Media
2016-0168,1,2016-12-13,2016,12,13,2023-12-05 10:40:00,10,avenida,4,-58.42323628,-34.64119105,moto,auto,conductor,masculino,2,Martes,Adulto de Edad Media
2016-0169,1,2016-12-15,2016,12,15,2023-12-05 15:30:00,15,avenida,12,-58.47935434,-34.55676497,moto,pasajeros,conductor,masculino,2,Jueves,Adulto
2016-0170,1,2016-12-19,2016,12,19,2023-12-05 17:10:00,17,gral paz,12,-58.50598256,-34.5637998,moto,auto,pasajero_acompaniante,masculino,2,Lunes,Adulto Joven
2016-0171,1,2016-12-25,2016,12,25,2023-12-05 19:00:00,19,autopista,1,-58.36607137,-34.62150748,moto,moto,conductor,sd,2,Domingo,Adulto de Edad Media
2016-0172,1,2016-12-26,2016,12,26,2023-12-05 08:00:00,8,avenida,5,-58.41918902,-34.63174259,moto,cargas,conductor,masculino,2,Lunes,Adulto de Edad Media
2016-0173,1,2016-12-26,2016,12,26,2023-12-05 19:52:00,19,avenida,7,-58.46749188,-34.63551751,moto,cargas,conductor,masculino,2,Lunes,Adulto de Edad Media
2016-0174,1,2016-12-27,2016,12,27,2023-12-05 00:00:00,0,autopista,0,0.0,0.0,sd,sd,sd,sd,2,Martes,Adulto de Edad Media
2016-0175,1,2016-12-27,2016,12,27,2023-12-05 08:15:00,8,calle,7,-58.46064174,-34.62960517,peaton,bicicleta,peaton,femenino,2,Martes,Adulto de Edad Media
2016-0176,1,2016-12-28,2016,12,28,2023-12-05 01:41:00,1,avenida,1,-58.36956186,-34.61232875,moto,pasajeros,conductor,masculino,2,Miércoles,Adulto
2016-0177,1,2016-12-29,2016,12,29,2023-12-05 04:00:00,4,calle,14,-58.40966671,-34.58788235,peaton,auto,peaton,femenino,2,Jueves,Adulto
2016-0178,1,2016-12-30,2016,12,30,2023-12-05 16:18:00,16,calle,3,-58.40288226,-34.61544091,peaton,multiple,peaton,femenino,2,Viernes,Niñez
2017-0001,1,2017-01-02,2017,1,2,2023-12-05 01:00:00,1,avenida,11,-58.4659423,-34.61028571,moto,cargas,conductor,masculino,1,Lunes,Adulto Joven
2017-0003,1,2017-01-05,2017,1,5,2023-12-05 03:10:00,3,avenida,4,-58.38957669,-34.64410277,cargas,cargas,pasajero_acompaniante,masculino,1,Jueves,Adulto
2017-0007,1,2017-01-11,2017,1,11,2023-12-05 17:00:00,17,calle,1,-58.3816166,-34.61529543,peaton,multiple,peaton,masculino,1,Miércoles,Adulto Mayor
2017-0008,1,2017-01-16,2017,1,16,2023-12-05 00:40:00,0,calle,14,-58.43917004,-34.58494351,moto,pasajeros,conductor,masculino,1,Lunes,Adulto
2017-0009,1,2017-01-16,2017,1,16,2023-12-05 13:56:00,13,autopista,5,-58.41595919,-34.62743346,moto,cargas,conductor,masculino,1,Lunes,Adulto de Edad Media
2017-0010,1,2017-01-16,2017,1,16,2023-12-05 16:30:00,16,avenida,6,-58.4356488,-34.62828656,moto,auto,conductor,masculino,1,Lunes,Adulto Joven
2017-0011,1,2017-01-22,2017,1,22,2023-12-05 02:30:00,2,gral paz,12,-58.5007381,-34.5497951,moto,objeto fijo,pasajero_acompaniante,femenino,1,Domingo,Adulto
